peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
YANG,Yangri,6535,Unclimbed,NA,NA,NA
LCHN,Lachama North,6628,Unclimbed,NA,NA,NA
CHNG,Changdi,6623,Unclimbed,NA,NA,NA
GOLD,Goldum Peak,6632,Unclimbed,NA,NA,NA
THOC,Thoche Go,6602,Unclimbed,NA,NA,NA
KCHS,Kangchung Shar,6063,Climbed,1984,Yugoslavia,KCHS84301
PHUN,Phu Kang North,6580,Unclimbed,NA,NA,NA
PTHE,Pethangtse East,6572,Climbed,2008,UK,PTHE08101
PHNG,Phungi,6524,Unclimbed,NA,NA,NA
KNTE,Kanti Himal East,6516,Unclimbed,NA,NA,NA
JARK,Jarkya,6473,Unclimbed,NA,NA,NA
MARW,Mariyang West,6455,Unclimbed,NA,NA,NA
MAYT,Mayonthang Kang,6449,Unclimbed,NA,NA,NA
LNJU,Langju,6426,Climbed,2017,Japan,LNJU17301
JYAC,Jyachhung,6338,Unclimbed,NA,NA,NA
GYLA,Gyala,6363,Unclimbed,NA,NA,NA
DOLM,Dolma Khang,6332,Climbed,1980,"Australia, Nepal",DOLM80101
KAIP,Kaipuchonam,6329,Unclimbed,NA,NA,NA
LDNG,Langdung,6326,Climbed,2017,Nepal,LDNG17401
DZA2,Dzanye II,6318,Climbed,2015,Japan,DZA215301
PAMA,Pama Himal,6300,Unclimbed,NA,NA,NA
PERH,Peri Himal,6296,Unclimbed,NA,NA,NA
TAKL,Takla Kang,6276,Unclimbed,NA,NA,NA
KOGI,Kogi Khang North,6275,Unclimbed,NA,NA,NA
ASAJ,Asajya Tuppa,6265,Unclimbed,NA,NA,NA
KOJS,Kojichuwa South,6264,Unclimbed,NA,NA,NA
PKAR,Pankar Himal,6264,Climbed,2018,Japan,PKAR18101
SAUL,Saula,6235,Unclimbed,NA,NA,NA
YARA,Yala Chuli,6236,Unclimbed,NA,NA,NA
RHIM,Rhimbu,6210,Unclimbed,NA,NA,NA
SANC,Sanctuary Peak,6207,Unclimbed,NA,NA,NA
LASA,Lasa,6189,Unclimbed,NA,NA,NA
PERI,Peri,6174,Climbed,2016,"Italy, Nepal",PERI16301
DWIJ,Dwijen Himal,6169,Unclimbed,NA,NA,NA
JABR,Jabou Ri,6166,Climbed,2015,USA,JABR15301
BEDG,Beding Go,6125,Climbed,2015,"Nepal, Canada, Brazil, Ireland",BEDG15301
TAKN,Takphu North,6142,Climbed,2016,"Germany, Nepal",TAKN16301
BHUL,Bhulu Lhasa,6102,Climbed,1964,"UK, Nepal",BHUL64301
LNAK,Lhonak,6070,Unclimbed,NA,NA,NA
ROLM,Rolmi,6056,Climbed,2017,Nepal,ROLM17301
ACHN,Aichyn,6055,Climbed,2015,Japan,ACHN15301
ARDN,Ardang,6034,Unclimbed,NA,NA,NA
LUNG,Lungchhung,6043,Unclimbed,NA,NA,NA
KHNG,Khung,6024,Unclimbed,NA,NA,NA
CHND,Chandi Himal,6142,Unclimbed,NA,NA,NA
KALI,Kali Himal,6985,Climbed,1983,Netherlands,KALI83101
DHEC,Dhechyan Khang,6019,Climbed,2018,"Austria, Germany, Nepal",DHEC18101
EKRA,Ek Rate Danda,6213,Unclimbed,NA,NA,NA
GHYN,Ghyun Himal I,6110,Unclimbed,NA,NA,NA
GORH,Gorakh Himal,6198,Unclimbed,NA,NA,NA
HONK,Hongku,6764,Climbed,2015,France,HONK15301
KARK,Karko,6015,Unclimbed,NA,NA,NA
KARS,Karsang Kang,6225,Climbed,2008,France,KARS08301
KHAY,Khayang,6186,Unclimbed,NA,NA,NA
GYLZ,Gyalzen Peak,6151,Climbed,2019,Nepal,GYLZ19101
LSAM,Lungsampa,6500,Climbed,2014,Spain,NA
MERS,Mera South,6064,Unclimbed,NA,NA,NA
PASH,Pashuwo,6177,Unclimbed,NA,NA,NA
SATO,Sat Peak,6164,Unclimbed,NA,NA,NA
TSKP,Tso Karpo,6518,Unclimbed,NA,NA,NA
SPH2,Sharphu II,6328,Climbed,201,USA,SPH218301
SPH3,Sharphu III,6220,Unclimbed,NA,NA,NA
SPH4,Sharphu IV,6172,Climbed,1962,Japan,SPH462101
SPH5,Sharphu V,6158,Unclimbed,NA,NA,NA
SPH6,Sharphu VI,6076,Unclimbed,NA,NA,NA
MNSS,Mansail South,6248,Unclimbed,NA,NA,NA
GDNG,Gave Ding,6581,Climbed,2015,UK,GDNG15301
NGO3,Ngojumba Kang III,7681,Unclimbed,NA,NA,NA
KIMS,Kimshung,6781,Unclimbed,NA,NA,NA
PAWR,Pawar Central,6621,Climbed,2015,France,PAWR15101
NGOR,Nagoru,6165,Climbed,2016,"Austria, Nepal",NGOR16301
SALD,Saldim,6374,Unclimbed,NA,NA,NA
LANY,Langtang Yubra,6048,Unclimbed,2018,"Australia, Netherands, Nepal",LANY18301
LARK,Larkya Peak,6416,Climbed,2017,Georgia,LARK17301
NUPW,Nuptse West II,7732,Climbed,NA,NA,NA
TENE,Tengi Ragi Tau East,6675,Climbed,2005,France,TENE05301
NILE,Nilgiri East,6698,Climbed,1970,Spain,NA
PEMR,Pemthang Ri,6743,Unclimbed,NA,NA,NA
FUTI,Futi Himal,6425,Climbed,2014,Portugal,FUTI14101
SANB,Sano Bhrikuti,6328,Climbed,2017,Switzerland,BHRS17101
SANK,Sano Kailash,6452,Climbed,2019,"Austria, Nepal",SANK19101
TARS,Tarke Kang Shar,7069,Climbed,1981,"Italy, Nepal",TARS81301
KORL,Korlang Pari Tippa,5738,Unclimbed,NA,NA,NA
JANE,Jannu East,7460,Unclimbed,NA,NA,NA
YUBR,Yubra,6264,Unclimbed,NA,NA,NA
